sample,horizon,variant,information,strategy,calibration,n,loss_bp,below_rate
native,1,own_scale,R,qrf,raw,1088,1.743719169831822,0.17279411764705882
native,1,own_scale,R,threshold,raw,1088,1.791260778471517,0.18658088235294118
native,1,original,B,boosting,calibrated,1088,1.7083053990334343,0.10110294117647059
native,1,original,B,linear,calibrated,1088,1.7255309402952548,0.09926470588235294
native,1,original,B,ml_selected,calibrated,1088,1.6933902026132843,0.10018382352941177
native,1,original,B,qrf,calibrated,1088,1.6821785310491604,0.10386029411764706
native,1,original,B,threshold,calibrated,1088,1.7162856066038452,0.09099264705882353
native,1,original,F,boosting,calibrated,1088,1.6941792954578094,0.10110294117647059
native,1,original,F,linear,calibrated,1088,1.7545069312771606,0.09834558823529412
native,1,original,F,ml_selected,calibrated,1088,1.6897930133486072,0.10294117647058823
native,1,original,F,qrf,calibrated,1088,1.677411009406979,0.10294117647058823
native,1,original,F,threshold,calibrated,1088,1.7333026522744996,0.09466911764705882
native,1,original,R,boosting,calibrated,1088,1.7063262922516425,0.10018382352941177
native,1,original,R,linear,calibrated,1088,1.7559074320174464,0.0974264705882353
native,1,original,R,ml_selected,calibrated,1088,1.6822379399789258,0.10477941176470588
native,1,original,R,qrf,calibrated,1088,1.6835925456453895,0.10110294117647059
native,1,original,R,threshold,calibrated,1088,1.6912303534587543,0.09191176470588236
native,1,own_scale,B,boosting,calibrated,1088,1.7109379895688515,0.10294117647058823
native,1,own_scale,B,linear,calibrated,1088,1.7108444136534657,0.0974264705882353
native,1,own_scale,B,ml_selected,calibrated,1088,1.6735297895954584,0.10202205882352941
native,1,own_scale,B,qrf,calibrated,1088,1.688426301468403,0.10202205882352941
native,1,own_scale,B,threshold,calibrated,1088,1.7215677209557332,0.09099264705882353
native,1,own_scale,F,boosting,calibrated,1088,1.6713247664273392,0.09834558823529412
native,1,own_scale,F,linear,calibrated,1088,1.703309101651575,0.09650735294117647
native,1,own_scale,F,ml_selected,calibrated,1088,1.665867950721496,0.10202205882352941
native,1,own_scale,F,qrf,calibrated,1088,1.665867950721496,0.10202205882352941
native,1,own_scale,F,threshold,calibrated,1088,1.7252986429790267,0.09558823529411764
native,1,own_scale,R,boosting,calibrated,1088,1.7116666182878024,0.10753676470588236
native,1,own_scale,R,linear,calibrated,1088,1.7308160619685813,0.09650735294117647
native,1,own_scale,R,ml_selected,calibrated,1088,1.6753535573626128,0.10110294117647059
native,1,own_scale,R,qrf,calibrated,1088,1.6908019265802101,0.10294117647058823
native,1,own_scale,R,threshold,calibrated,1088,1.705441222112993,0.09650735294117647
native,6,original,B,boosting,raw,703,1.9489284256668276,0.2019914651493599
native,6,original,B,linear,raw,703,1.9896850744427794,0.16358463726884778
native,6,original,B,ml_selected,raw,703,1.9344042397079664,0.1891891891891892
native,6,original,B,qrf,raw,703,1.886002209503978,0.1678520625889047
native,6,original,B,threshold,raw,703,1.9217805547156757,0.19630156472261737
native,6,original,F,boosting,raw,703,1.948654227122511,0.18634423897581792
native,6,original,F,linear,raw,703,1.9957228656527326,0.16216216216216217
native,6,original,F,ml_selected,raw,703,1.9432712986847882,0.17923186344238975
native,6,original,F,qrf,raw,703,1.8819451004707313,0.17496443812233287
