method,sample,h,q,term,n,effect,coefficient,ci_low,ci_high,successful,scenario,block_days,refit_first_stage
sequential_ols,matched,6,0.1,btc_ret,229,-0.2303569246131729,-43.24926983775171,-2.0923584474839294,2.53336813329745,199,clock_UTC_quote,3,False
sequential_ols,matched,6,0.1,account_ls,229,1.155270313148728,1.9016989547919856,-0.9393347166133446,5.065349186028777,199,clock_UTC_quote,3,False
sequential_ols,matched,12,0.1,e_origin,229,2.066245552726862,0.2136527373658789,-1.0833454160390017,3.3882405139995915,199,clock_UTC_quote,3,False
sequential_ols,matched,12,0.1,downside,229,-0.4466611555980116,-20926.68972646597,-1.7810789344305173,5.613619458674694,199,clock_UTC_quote,3,False
sequential_ols,matched,12,0.1,btc_vol,229,-0.2400115999847886,-110.893027998395,-4.922911317763272,1.4357008116390009,199,clock_UTC_quote,3,False
sequential_ols,matched,12,0.1,btc_ret,229,-2.1006452117321026,-394.3939247675973,-4.448326484879934,0.5664199775351293,199,clock_UTC_quote,3,False
sequential_ols,matched,12,0.1,account_ls,229,0.6731944488797671,1.1081503309101364,-1.5305245496477728,2.585949387964968,199,clock_UTC_quote,3,False
pca_1,all,6,0.1,e_origin,577,0.7251502894308036,0.0766770207948864,-0.6617202269467806,2.2512245402895106,199,clock_UTC_quote,3,False
pca_1,all,6,0.1,downside,577,-1.4390147619982263,-65160.86366979548,-5.015596440884249,2.098654095839938,199,clock_UTC_quote,3,False
pca_1,all,6,0.1,btc_vol,577,-0.2614487330750015,-120.4073578423143,-2.2692781078608224,3.2036161125198377,199,clock_UTC_quote,3,False
pca_1,all,6,0.1,btc_ret,577,-0.3120748276365713,-54.59089534746283,-1.124008146831769,1.401993567261541,199,clock_UTC_quote,3,False
pca_1,all,6,0.1,account_ls,577,1.2726640335548678,2.11399124670194,-0.31604286206531723,3.2393537447348386,199,clock_UTC_quote,3,False
pca_1,all,6,0.5,e_origin,577,0.7655384472248635,0.0809476439473272,-0.25267939192485334,1.9268319516081698,199,clock_UTC_quote,3,False
pca_1,all,6,0.5,downside,577,-2.8996057600162675,-131298.73342105892,-6.48222565002304,-0.19349970894893803,199,clock_UTC_quote,3,False
pca_1,all,6,0.5,btc_vol,577,1.4985336932236686,690.1333218049523,-0.10869289385808562,3.9198219042398272,199,clock_UTC_quote,3,False
pca_1,all,6,0.5,btc_ret,577,-0.1250944614411213,-21.882632139213285,-1.014092097623962,0.5783903587284711,199,clock_UTC_quote,3,False
pca_1,all,6,0.5,account_ls,577,2.065841767906528,3.4315194735464183,0.3904562339316824,3.3357708527902656,199,clock_UTC_quote,3,False
pca_1,matched,1,0.1,e_origin,229,3.671376141368468,0.3829406455772788,-1.4512907629199558,4.600302924522687,199,clock_UTC_quote,3,False
pca_1,matched,1,0.1,downside,229,-0.8513593432202647,-39887.35666401353,-9.788101427452483,1.4584205473910838,199,clock_UTC_quote,3,False
pca_1,matched,1,0.1,btc_vol,229,-0.8222923693009937,-379.9253483479167,-3.055334184544495,7.397176829908737,199,clock_UTC_quote,3,False
pca_1,matched,1,0.1,btc_ret,229,1.1059133487538624,207.63406577747077,-0.6532324275530219,3.8640755453652202,199,clock_UTC_quote,3,False
pca_1,matched,1,0.1,account_ls,229,2.794520540275704,4.600080803688825,-0.06971844130353522,4.412756996100337,199,clock_UTC_quote,3,False
pca_1,matched,6,0.1,e_origin,229,1.7762073797101707,0.1852662256534163,-1.1184265046932647,3.3754239488052633,199,clock_UTC_quote,3,False
