mode,definition,information,strategy,calibration,fold,n,loss_bp,below_rate
available_macro,EQ,F,linear,raw,2025-12,313,2.0599663430393806,0.18210862619808307
available_macro,EQ,F,linear,raw,2026-01,294,1.4032205923571244,0.12244897959183673
available_macro,EQ,F,linear,raw,2026-02,280,1.9383820929536748,0.16071428571428573
available_macro,EQ,F,linear,raw,2026-03,201,2.0455404298812807,0.21393034825870647
available_macro,EQ,F,matched_full_spec,raw,2025-12,313,1.6704427861907007,0.17651757188498401
available_macro,EQ,F,matched_full_spec,raw,2026-01,294,1.5741117824312987,0.20748299319727892
available_macro,EQ,F,matched_full_spec,raw,2026-02,280,2.1093100006202063,0.21071428571428572
available_macro,EQ,F,matched_full_spec,raw,2026-03,201,2.026718582764412,0.2027363184079602
available_macro,EQ,F,ml_selected,raw,2025-12,313,1.6704427861907007,0.17651757188498401
available_macro,EQ,F,ml_selected,raw,2026-01,294,1.5741117824312987,0.20748299319727892
available_macro,EQ,F,ml_selected,raw,2026-02,280,2.1093100006202063,0.21071428571428572
available_macro,EQ,F,ml_selected,raw,2026-03,201,2.026718582764412,0.2027363184079602
available_macro,EQ,F,qrf,raw,2025-12,313,1.6704427861907007,0.17651757188498401
available_macro,EQ,F,qrf,raw,2026-01,294,1.4583048908948268,0.18622448979591838
available_macro,EQ,F,qrf,raw,2026-02,280,2.1093100006202063,0.21071428571428572
available_macro,EQ,F,qrf,raw,2026-03,201,2.026718582764412,0.2027363184079602
available_macro,EQ,F,threshold,raw,2025-12,313,1.7686911431897672,0.14696485623003194
available_macro,EQ,F,threshold,raw,2026-01,294,1.5228408452202724,0.20748299319727892
available_macro,EQ,F,threshold,raw,2026-02,280,2.0471059448763937,0.20714285714285716
available_macro,EQ,F,threshold,raw,2026-03,201,2.311631514120477,0.2537313432835821
available_macro,EQ,R,boosting,raw,2025-12,313,1.675681163378867,0.14616613418530353
available_macro,EQ,R,boosting,raw,2026-01,294,1.5724457187652614,0.19727891156462585
available_macro,EQ,R,boosting,raw,2026-02,280,2.137119037989658,0.2357142857142857
available_macro,EQ,R,boosting,raw,2026-03,201,2.060023083232854,0.22388059701492538
available_macro,EQ,R,linear,raw,2025-12,313,2.026144584590712,0.1757188498402556
available_macro,EQ,R,linear,raw,2026-01,294,1.446498192308819,0.12244897959183673
available_macro,EQ,R,linear,raw,2026-02,280,2.000003121745216,0.16428571428571428
available_macro,EQ,R,linear,raw,2026-03,201,2.0188630745767573,0.19900497512437812
available_macro,EQ,R,matched_full_spec,raw,2025-12,313,1.6536952134432004,0.16054313099041534
available_macro,EQ,R,matched_full_spec,raw,2026-01,294,1.5724457187652614,0.19727891156462585
available_macro,EQ,R,matched_full_spec,raw,2026-02,280,2.143532167970464,0.22321428571428573
available_macro,EQ,R,matched_full_spec,raw,2026-03,201,2.0748606936774316,0.21144278606965175
available_macro,EQ,R,ml_selected,raw,2025-12,313,1.6536952134432004,0.16054313099041534
available_macro,EQ,R,ml_selected,raw,2026-01,294,1.5724457187652614,0.19727891156462585
available_macro,EQ,R,ml_selected,raw,2026-02,280,2.143532167970464,0.22321428571428573
available_macro,EQ,R,ml_selected,raw,2026-03,201,2.0748606936774316,0.21144278606965175
available_macro,EQ,R,qrf,raw,2025-12,313,1.6536952134432004,0.16054313099041534
available_macro,EQ,R,qrf,raw,2026-01,294,1.5155927625042487,0.18112244897959184
available_macro,EQ,R,qrf,raw,2026-02,280,2.143532167970464,0.22321428571428573
available_macro,EQ,R,qrf,raw,2026-03,201,2.0748606936774316,0.21144278606965175
available_macro,EQ,R,threshold,raw,2025-12,313,1.676105875737672,0.16613418530351437
available_macro,EQ,R,threshold,raw,2026-01,294,1.589970028553056,0.21768707482993196
available_macro,EQ,R,threshold,raw,2026-02,280,2.1427464324274683,0.21428571428571427
available_macro,EQ,R,threshold,raw,2026-03,201,2.064731195539883,0.22388059701492538
available_macro,EQ,B,boosting,calibrated,2025-12,313,1.6912213730160484,0.0902555910543131
available_macro,EQ,B,boosting,calibrated,2026-01,294,1.4531482774176059,0.11224489795918367
available_macro,EQ,B,boosting,calibrated,2026-02,280,1.8903929459798097,0.11785714285714285
available_macro,EQ,B,boosting,calibrated,2026-03,201,1.847017293080596,0.08208955223880597
available_macro,EQ,B,linear,calibrated,2025-12,313,1.791256827087799,0.0926517571884984
available_macro,EQ,B,linear,calibrated,2026-01,294,1.4205090202696018,0.09183673469387756
available_macro,EQ,B,linear,calibrated,2026-02,280,1.9085752537634773,0.11428571428571428
available_macro,EQ,B,linear,calibrated,2026-03,201,1.8143460355707448,0.09950248756218906
available_macro,EQ,B,matched_full_spec,calibrated,2025-12,313,1.6459532121642988,0.10223642172523961
available_macro,EQ,B,matched_full_spec,calibrated,2026-01,294,1.4531482774176059,0.11224489795918367
available_macro,EQ,B,matched_full_spec,calibrated,2026-02,280,1.8793060080753448,0.1
available_macro,EQ,B,matched_full_spec,calibrated,2026-03,201,1.8435699828259644,0.08706467661691543
available_macro,EQ,B,ml_selected,calibrated,2025-12,313,1.6459532121642988,0.10223642172523961
available_macro,EQ,B,ml_selected,calibrated,2026-01,294,1.4531482774176059,0.11224489795918367
available_macro,EQ,B,ml_selected,calibrated,2026-02,280,1.8793060080753448,0.1
available_macro,EQ,B,ml_selected,calibrated,2026-03,201,1.847017293080596,0.08208955223880597
available_macro,EQ,B,qrf,calibrated,2025-12,313,1.6459532121642988,0.10223642172523961
available_macro,EQ,B,qrf,calibrated,2026-01,294,1.4240220704014837,0.11734693877551021
available_macro,EQ,B,qrf,calibrated,2026-02,280,1.8793060080753448,0.1
available_macro,EQ,B,qrf,calibrated,2026-03,201,1.8435699828259644,0.08706467661691543
available_macro,EQ,B,threshold,calibrated,2025-12,313,1.755139161637693,0.07987220447284345
available_macro,EQ,B,threshold,calibrated,2026-01,294,1.4067966250638366,0.10204081632653061
available_macro,EQ,B,threshold,calibrated,2026-02,280,1.9096934085729702,0.09642857142857143
available_macro,EQ,B,threshold,calibrated,2026-03,201,1.8390438817073922,0.0845771144278607
available_macro,EQ,F,boosting,calibrated,2025-12,313,1.6587127995623578,0.0902555910543131
available_macro,EQ,F,boosting,calibrated,2026-01,294,1.4443643626609888,0.11564625850340136
available_macro,EQ,F,boosting,calibrated,2026-02,280,1.884489032141786,0.10714285714285714
available_macro,EQ,F,boosting,calibrated,2026-03,201,1.8511076087513059,0.08333333333333333
available_macro,EQ,F,linear,calibrated,2025-12,313,1.845427731612483,0.0926517571884984
available_macro,EQ,F,linear,calibrated,2026-01,294,1.427623938779799,0.09523809523809523
available_macro,EQ,F,linear,calibrated,2026-02,280,1.925656761409691,0.10714285714285714
available_macro,EQ,F,linear,calibrated,2026-03,201,1.8526334827804438,0.09950248756218906
