mode,definition,comparison,primary_comparison,calibration,n,reference_information,reference_strategy,candidate_information,candidate_strategy,seed,difference_bp,improvement_pct
available_macro,PCA,boosting_vs_linear_F,False,raw,1088,F,linear,F,boosting,20260925,0.028764812107805682,1.5702031244217207
available_macro,PCA,nonlinear_B,False,raw,1088,B,linear,B,ml_selected,20260925,0.011315209911086033,0.632134686221153
available_macro,PCA,matched_market,False,raw,1088,R,matched_full_spec,B,matched_full_spec,20260925,0.02262764654652938,1.2561756649440925
available_macro,PCA,matched_position,False,raw,1088,B,matched_full_spec,F,matched_full_spec,20260925,0.002572140539164769,0.14460913906260142
available_macro,PCA,matched_total,False,raw,1088,R,matched_full_spec,F,matched_full_spec,20260925,0.025199787085694147,1.3989682591925012
available_macro,PCA,nonlinear_R,True,calibrated,1088,R,linear,R,ml_selected,20260925,0.07763690837236714,4.446303859444811
available_macro,PCA,nonlinear_F,True,calibrated,1088,F,linear,F,ml_selected,20260925,0.08456668524878941,4.864908234015841
available_macro,PCA,market_B_vs_R,True,calibrated,1088,R,ml_selected,B,ml_selected,20260925,-0.0020844727163342736,-0.1249337081537849
available_macro,PCA,position_F_vs_B,True,calibrated,1088,B,ml_selected,F,ml_selected,20260925,0.016814474743713115,1.0065247978309988
available_macro,PCA,total_F_vs_R,True,calibrated,1088,R,ml_selected,F,ml_selected,20260925,0.014730002027378841,0.8828485784306395
available_macro,PCA,ml_vs_threshold_F,True,calibrated,1088,F,threshold,F,ml_selected,20260925,0.050971072330004086,2.9900246446957657
available_macro,PCA,qrf_vs_linear_R,False,calibrated,1088,R,linear,R,qrf,20260925,0.07763690837236714,4.446303859444811
available_macro,PCA,boosting_vs_linear_R,False,calibrated,1088,R,linear,R,boosting,20260925,0.05212121738277342,2.9850077091744587
available_macro,PCA,qrf_vs_linear_B,False,calibrated,1088,B,linear,B,qrf,20260925,0.04357255271274241,2.5419779031668144
available_macro,PCA,boosting_vs_linear_B,False,calibrated,1088,B,linear,B,boosting,20260925,0.010622691924502492,0.6197169195537477
available_macro,PCA,qrf_vs_linear_F,False,calibrated,1088,F,linear,F,qrf,20260925,0.08456668524878941,4.864908234015841
available_macro,PCA,boosting_vs_linear_F,False,calibrated,1088,F,linear,F,boosting,20260925,0.05787533495730668,3.3294221329818074
available_macro,PCA,nonlinear_B,False,calibrated,1088,B,linear,B,ml_selected,20260925,0.04357255271274241,2.5419779031668144
available_macro,PCA,matched_market,False,calibrated,1088,R,matched_full_spec,B,matched_full_spec,20260925,-0.0020844727163342736,-0.1249337081537849
available_macro,PCA,matched_position,False,calibrated,1088,B,matched_full_spec,F,matched_full_spec,20260925,0.016814474743713115,1.0065247978309988
available_macro,PCA,matched_total,False,calibrated,1088,R,matched_full_spec,F,matched_full_spec,20260925,0.014730002027378841,0.8828485784306395
strict,EQ,nonlinear_R,True,raw,467,R,linear,R,ml_selected,20260925,0.17552986682075855,8.132561704194142
strict,EQ,nonlinear_F,True,raw,467,F,linear,F,ml_selected,20260925,0.21563547675836148,9.969982353157036
strict,EQ,market_B_vs_R,True,raw,467,R,ml_selected,B,ml_selected,20260925,0.057463351487207825,2.8980487688831547
strict,EQ,position_F_vs_B,True,raw,467,B,ml_selected,F,ml_selected,20260925,-0.021845998235636266,-1.1346415278360666
strict,EQ,total_F_vs_R,True,raw,467,R,ml_selected,F,ml_selected,20260925,0.03561735325157156,1.7962897058757865
strict,EQ,ml_vs_threshold_F,True,raw,467,F,threshold,F,ml_selected,20260925,-0.04696971378975934,-2.471775457682912
strict,EQ,qrf_vs_linear_R,False,raw,467,R,linear,R,qrf,20260925,0.33251553889246677,15.405943083223194
strict,EQ,boosting_vs_linear_R,False,raw,467,R,linear,R,boosting,20260925,0.15877606971328384,7.356333184091524
strict,EQ,qrf_vs_linear_B,False,raw,467,B,linear,B,qrf,20260925,0.27643506248976446,13.105776487040243
strict,EQ,boosting_vs_linear_B,False,raw,467,B,linear,B,boosting,20260925,0.11883644811015537,5.634031780983351
strict,EQ,qrf_vs_linear_F,False,raw,467,F,linear,F,qrf,20260925,0.31913962927317985,14.755533365282869
strict,EQ,boosting_vs_linear_F,False,raw,467,F,linear,F,boosting,20260925,0.20917522302914193,9.671290242538277
strict,EQ,nonlinear_B,False,raw,467,B,linear,B,ml_selected,20260925,0.1838955804977771,8.718482935020667
strict,EQ,matched_market,False,raw,467,R,matched_full_spec,B,matched_full_spec,20260925,0.024777471830268682,1.2417329269466482
strict,EQ,matched_position,False,raw,467,B,matched_full_spec,F,matched_full_spec,20260925,0.023405484020989187,1.1877235628092175
strict,EQ,matched_total,False,raw,467,R,matched_full_spec,F,matched_full_spec,20260925,0.04818295585125787,2.4147081351953648
strict,EQ,nonlinear_R,True,calibrated,467,R,linear,R,ml_selected,20260925,0.20414154347497115,10.3065520561748
strict,EQ,nonlinear_F,True,calibrated,467,F,linear,F,ml_selected,20260925,0.22244687563462517,11.100696797972132
strict,EQ,market_B_vs_R,True,calibrated,467,R,ml_selected,B,ml_selected,20260925,-0.0023373843509211234,-0.13156834747247714
strict,EQ,position_F_vs_B,True,calibrated,467,B,ml_selected,F,ml_selected,20260925,-0.0025606280365397804,-0.1439450601839809
