definition,policy,family,fold,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
EQ,legacy,state_hist,2026-02,128,1.9259875029758253,0.09375,-14.53700298216197,1.5598480590763946,0.36613944389943054,0.06874999999999999,0.0,0.0390625,0.0,0.025,0.0,40.0,128.0,40.0,88.0,0.0,27.0,77.0,27.0,50.0,0.0,13.0,45.0,13.0,32.0,0.0,0.0062500000000000056,0.0921875
EQ,legacy,state_hist,2026-03,105,2.1395787972262865,0.10476190476190476,-15.879558112311685,1.4975785056953836,0.6420002915309029,0.06095238095238094,0.0,0.07142857142857142,0.0889033933520328,0.023809523809523808,0.027634625416174903,41.0,105.0,41.0,64.0,0.0,31.0,86.0,29.0,57.0,2.0,16.0,31.0,15.0,16.0,1.0,0.004761904761904759,0.019999999999999997
EQ,legacy,threshold,2025-12,139,2.4774847435109852,0.07194244604316546,-14.738900695294511,1.66393838766862,0.8135463558423653,0.07050359712230216,0.456900309918413,0.0762589928057554,0.5552840493979184,0.05467625899280576,0.3856231887174123,48.0,116.0,45.0,71.0,3.0,29.0,95.0,25.0,70.0,4.0,8.0,44.0,4.0,40.0,4.0,0.02805755395683454,0.035251798561151085
EQ,legacy,threshold,2026-01,137,1.530165583867746,0.10218978102189781,-10.446779277072551,1.1823181101757456,0.3478474736920002,0.06934306569343066,0.00881169160764541,0.06788321167883213,0.09578449490434646,0.004379562043795621,0.0,35.0,120.0,34.0,86.0,1.0,17.0,70.0,13.0,57.0,4.0,2.0,8.0,2.0,6.0,0.0,0.0021897810218978048,0.0489051094890511
EQ,legacy,threshold,2026-02,128,2.2241489836351973,0.109375,-15.875389307110689,1.7101189763877165,0.5140300072474808,0.06718750000000001,0.06179141563028004,0.06953125000000002,0.09856861040995565,0.049218750000000006,0.14856919300690774,40.0,116.0,39.0,77.0,1.0,27.0,96.0,25.0,71.0,2.0,13.0,36.0,9.0,27.0,4.0,0.009374999999999994,0.1078125
EQ,legacy,threshold,2026-03,105,2.0754526918868255,0.18095238095238095,-13.069813359489187,1.2382888674074124,0.8371638244794128,0.043809523809523805,0.0,0.04571428571428572,0.0663911197172979,0.051428571428571435,0.38174804118752703,41.0,87.0,41.0,46.0,0.0,31.0,69.0,30.0,39.0,1.0,16.0,20.0,11.0,9.0,5.0,0.08095238095238094,0.08095238095238094
CAP,fixed_model_selected_cal,historical,2025-12,139,1.4964836048281238,0.08633093525179857,-12.02562031232077,1.220706423092559,0.2757771817355648,0.0683453237410072,0.0,0.06043165467625898,0.040542066292334006,0.012949640287769784,0.03292301868384474,44.0,139.0,44.0,95.0,0.0,24.0,88.0,22.0,66.0,2.0,2.0,0.0,0.0,0.0,2.0,0.01366906474820144,0.08273381294964029
CAP,fixed_model_selected_cal,historical,2026-01,137,1.1672541257474853,0.072992700729927,-8.886606860898144,0.9844758602966263,0.18277826545085885,0.06569343065693431,0.0,0.03722627737226278,0.06541050393805095,0.006569343065693431,0.011267890936370904,34.0,124.0,34.0,90.0,0.0,10.0,41.0,8.0,33.0,2.0,1.0,0.0,0.0,0.0,1.0,0.027007299270073004,0.027007299270073004
CAP,fixed_model_selected_cal,historical,2026-02,128,1.4583957364525197,0.109375,-9.607012733630903,1.049406979259293,0.4089887571932264,0.0703125,0.0,0.0578125,0.06138434303313045,0.0140625,0.06122156833654879,32.0,122.0,32.0,90.0,0.0,16.0,60.0,13.0,47.0,3.0,2.0,0.0,0.0,0.0,2.0,0.009374999999999994,0.0703125
CAP,fixed_model_selected_cal,historical,2026-03,105,1.8234445530882737,0.19047619047619047,-9.274246729400996,0.964371390681878,0.8590731624063955,0.08,0.20593926686835234,0.05619047619047619,0.10269941065266132,0.05523809523809524,0.41078490922599975,33.0,77.0,29.0,48.0,4.0,21.0,40.0,17.0,23.0,4.0,7.0,5.0,1.0,4.0,6.0,0.09047619047619046,0.09047619047619047
CAP,fixed_model_selected_cal,linear,2025-12,139,1.9215567364679365,0.04316546762589928,-18.26434804092651,1.8246992318310569,0.09685750463687962,0.06762589928057552,0.0,0.06258992805755395,0.0,0.04604316546762589,0.006372121938829868,44.0,138.0,44.0,94.0,0.0,24.0,111.0,24.0,87.0,0.0,2.0,56.0,1.0,55.0,1.0,0.05683453237410072,0.07266187050359713
CAP,fixed_model_selected_cal,linear,2026-01,137,1.089738611934328,0.08029197080291971,-8.395844260070898,0.9325556748408586,0.15718293709346937,0.06058394160583942,0.01785190703839919,0.035036496350364967,0.030356150283688967,0.006569343065693431,0.011267890936370904,34.0,107.0,33.0,74.0,1.0,10.0,48.0,9.0,39.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0197080291970803,0.03722627737226278
CAP,fixed_model_selected_cal,linear,2026-02,128,1.3532827373932754,0.109375,-8.445606722977486,0.9343691383945613,0.4189135989987141,0.05859374999999999,0.0,0.05546875000000001,0.08116047419342867,0.0140625,0.06122156833654879,32.0,107.0,32.0,75.0,0.0,16.0,47.0,12.0,35.0,4.0,2.0,0.0,0.0,0.0,2.0,0.009374999999999994,0.0703125
CAP,fixed_model_selected_cal,linear,2026-03,105,1.5973144148534506,0.18095238095238095,-8.154196275819661,0.8409538360360755,0.7563605788173747,0.05047619047619048,0.1360798202197318,0.07238095238095239,0.1112423284647612,0.026666666666666665,0.16408908768675867,33.0,66.0,31.0,35.0,2.0,21.0,37.0,15.0,22.0,6.0,7.0,5.0,4.0,1.0,3.0,0.08095238095238094,0.08095238095238096
CAP,fixed_model_selected_cal,ml_selected,2025-12,139,1.37925837965554,0.03597122302158273,-12.757339381160106,1.2748386167708408,0.1044197628846994,0.06402877697841729,0.02633522836166407,0.050359712230215826,0.0,0.01942446043165468,0.006372121938829868,44.0,123.0,43.0,80.0,1.0,24.0,94.0,24.0,70.0,0.0,2.0,19.0,1.0,18.0,1.0,0.06402877697841727,0.07985611510791368
CAP,fixed_model_selected_cal,ml_selected,2026-01,137,1.06576424151494,0.11678832116788321,-6.754525877459956,0.7824395833639347,0.283324658151005,0.0489051094890511,0.05795102653951903,0.0364963503649635,0.08166701327897757,0.006569343065693431,0.011267890936370904,34.0,71.0,31.0,40.0,3.0,10.0,30.0,7.0,23.0,3.0,1.0,0.0,0.0,0.0,1.0,0.016788321167883202,0.04160583941605838
CAP,fixed_model_selected_cal,ml_selected,2026-02,128,1.313124811274125,0.078125,-9.56345538242968,1.0309597251333436,0.2821650861407814,0.07343749999999999,0.038798621832738335,0.05390625,0.06138434303313045,0.01484375,0.06122156833654879,32.0,106.0,30.0,76.0,2.0,16.0,55.0,13.0,42.0,3.0,2.0,1.0,0.0,1.0,2.0,0.021875000000000006,0.0390625
CAP,fixed_model_selected_cal,ml_selected,2026-03,105,1.6266854011802558,0.16666666666666666,-8.972236149083379,0.9175145232624908,0.7091708779177648,0.04428571428571429,0.05693672464373018,0.0730952380952381,0.12297411981025136,0.012380952380952381,0.022509542129854832,33.0,69.5,32.0,37.5,1.0,21.0,37.75,15.0,22.75,6.0,7.0,10.0,6.0,4.0,1.0,0.06666666666666665,0.08666666666666668
