method,scope,algorithm,scenario,period,n,zero_mse,probe_mse,past_mean_mse,skill_vs_zero,skill_vs_past_mean
pca_2,mean_market,ridge,clock_NY_quote,2026-02,324,45.4227310667157,48.5448968667647,46.816646562842365,-0.06873575689368505,-0.03691529468268295
pca_2,mean_market,ridge,clock_NY_quote,2026-03,237,64.9410627626429,56.86913893366506,67.7748526823562,0.12429614616071827,0.16091091779724687
sequential_ols,all_references,lightgbm,clock_NY_quote,all,907,100.9931996986185,93.48624709960133,104.99890721735639,0.07433126805982226,0.10964552320456922
sequential_ols,all_references,lightgbm,clock_NY_quote,2026-01,346,71.63425974473756,67.40145620582716,79.54677759746913,0.05908909443600907,0.15268150085351018
sequential_ols,all_references,lightgbm,clock_NY_quote,2026-02,324,109.52156715364941,89.08613276253888,110.08659706563581,0.186588221134942,0.19076313432211955
sequential_ols,all_references,lightgbm,clock_NY_quote,2026-03,237,132.19574049445308,137.58318673864812,135.20154577279288,-0.040753553965084954,-0.01761548621535436
sequential_ols,all_references,ridge,clock_NY_quote,all,907,100.9931996986185,53.54194564398351,104.99890721735639,0.46984603118069224,0.49007140109422975
sequential_ols,all_references,ridge,clock_NY_quote,2026-01,346,71.63425974473756,55.70060202522995,79.54677759746913,0.22243068855999648,0.2997755068458974
sequential_ols,all_references,ridge,clock_NY_quote,2026-02,324,109.52156715364941,48.177016852739904,110.08659706563581,0.5601138834586648,0.5623716407182991
sequential_ols,all_references,ridge,clock_NY_quote,2026-03,237,132.19574049445308,57.724822523526385,135.20154577279288,0.5633382565306746,0.5730461349862572
sequential_ols,mean_market,lightgbm,clock_NY_quote,all,907,100.9931996986185,105.35137370829003,104.99890721735639,-0.04315314320842489,-0.0033568586595287275
sequential_ols,mean_market,lightgbm,clock_NY_quote,2026-01,346,71.63425974473756,76.4749969504707,79.54677759746913,-0.06757572735423922,0.0386160287037971
sequential_ols,mean_market,lightgbm,clock_NY_quote,2026-02,324,109.52156715364941,112.10919398364125,110.08659706563581,-0.023626641740449372,-0.01837278080999738
sequential_ols,mean_market,lightgbm,clock_NY_quote,2026-03,237,132.19574049445308,138.26990783905663,135.20154577279288,-0.04594828337043455,-0.02269472622317603
sequential_ols,mean_market,ridge,clock_NY_quote,all,907,100.9931996986185,105.28717970484425,104.99890721735639,-0.042517516219307216,-0.002745480835254055
sequential_ols,mean_market,ridge,clock_NY_quote,2026-01,346,71.63425974473756,83.80812583376037,79.54677759746913,-0.1699447461648005,-0.05357034395352822
sequential_ols,mean_market,ridge,clock_NY_quote,2026-02,324,109.52156715364941,113.63504741418747,110.08659706563581,-0.037558632216859955,-0.03223326402246762
sequential_ols,mean_market,ridge,clock_NY_quote,2026-03,237,132.19574049445308,125.23251093508821,135.20154577279288,0.052673630279767125,0.07373462175097978
ae_selected,all_references,lightgbm,clock_FXUTC_USNY_quote,all,907,75.49976023747061,74.86475865197785,403.85849465532436,0.00841064373576128,0.814626262310338
ae_selected,all_references,lightgbm,clock_FXUTC_USNY_quote,2026-01,346,70.74325770399359,74.17954105091623,468.6017190694955,-0.048574004908013224,0.8417002370409249
ae_selected,all_references,lightgbm,clock_FXUTC_USNY_quote,2026-02,324,96.18278578192356,90.00832666737683,469.85855216335113,0.06419505386905877,0.8084352700340239
ae_selected,all_references,lightgbm,clock_FXUTC_USNY_quote,2026-03,237,54.16832395131151,55.16251921306668,219.11092385404237,-0.018353812509480427,0.7482438655143803
ae_selected,all_references,ridge,clock_FXUTC_USNY_quote,all,907,75.49976023747061,1065.3776861585645,403.85849465532436,-13.111007542376491,-1.637997467572938
ae_selected,all_references,ridge,clock_FXUTC_USNY_quote,2026-01,346,70.74325770399359,481.7236118912394,468.6017190694955,-5.809463226967638,-0.028002229372525722
ae_selected,all_references,ridge,clock_FXUTC_USNY_quote,2026-02,324,96.18278578192356,1041.534928592517,469.85855216335113,-9.828704119196571,-1.2166988847963265
ae_selected,all_references,ridge,clock_FXUTC_USNY_quote,2026-03,237,54.16832395131151,1950.058543322674,219.11092385404237,-34.999979343563574,-7.899869112056129
ae_selected,mean_market,lightgbm,clock_FXUTC_USNY_quote,all,907,75.49976023747061,77.11144137415694,403.85849465532436,-0.021346837812690866,0.8090632179472461
ae_selected,mean_market,lightgbm,clock_FXUTC_USNY_quote,2026-01,346,70.74325770399359,75.68272325504118,468.6017190694955,-0.06982242140608608,0.8384924336058248
ae_selected,mean_market,lightgbm,clock_FXUTC_USNY_quote,2026-02,324,96.18278578192356,95.3476250393358,469.85855216335113,0.00868305836432448,0.7970716408154529
ae_selected,mean_market,lightgbm,clock_FXUTC_USNY_quote,2026-03,237,54.16832395131151,54.2667703264612,219.11092385404237,-0.0018174159355230923,0.752331972446019
ae_selected,mean_market,ridge,clock_FXUTC_USNY_quote,all,907,75.49976023747061,1030.1991095579922,403.85849465532436,-12.645064650770948,-1.5508912730366666
ae_selected,mean_market,ridge,clock_FXUTC_USNY_quote,2026-01,346,70.74325770399359,507.07298734051574,468.6017190694955,-6.167792434188262,-0.08209800925914834
ae_selected,mean_market,ridge,clock_FXUTC_USNY_quote,2026-02,324,96.18278578192356,1027.1439311086556,469.85855216335113,-9.679082777218701,-1.1860705235212117
ae_selected,mean_market,ridge,clock_FXUTC_USNY_quote,2026-03,237,54.16832395131151,1798.0958019834436,219.11092385404237,-32.19459918308786,-7.206326596391969
joint_ols,all_references,lightgbm,clock_FXUTC_USNY_quote,all,907,92.74430856145008,85.89522304786078,95.2600590308996,0.07384911936726846,0.09830810602375473
joint_ols,all_references,lightgbm,clock_FXUTC_USNY_quote,2026-01,346,71.73745512784669,69.099370603495,76.32289119390163,0.03677415820857077,0.09464422111650561
joint_ols,all_references,lightgbm,clock_FXUTC_USNY_quote,2026-02,324,99.02273827129252,79.87371166752493,99.39745853468405,0.19338009570392833,0.1964209865622112
joint_ols,all_references,lightgbm,clock_FXUTC_USNY_quote,2026-03,237,114.8293721143523,118.64768985368096,117.25053427298882,-0.03325209978093602,-0.011915984770177745
joint_ols,all_references,ridge,clock_FXUTC_USNY_quote,all,907,92.74430856145008,49.670663916793636,95.2600590308996,0.46443437136756394,0.4785782790594123
joint_ols,all_references,ridge,clock_FXUTC_USNY_quote,2026-01,346,71.73745512784669,46.96653080331012,76.32289119390163,0.3452997361056528,0.3846337570730961
