model,primary_model,new_model,n,days,q10_prediction_sd,q90_prediction_sd,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24,stress_excess
mlp_tick_20260910_raw,False,False,1814,77,3.34120853863843,1.930723657441757,1.6739654916270819,1.639250727197095,0.802646085997795,25.417933933067218,1.7177311049506179,0.6167790434983494,1.8385877620501856,2.313279783844028,1.8631004245027436,2.5591179483386357,0.043765613323536165
mlp_tick_20260910_cal,False,False,1814,77,3.479403470698731,2.382884489177443,1.6765547699371592,1.6307000611292548,0.802646085997795,25.431586812373055,1.7202488751439888,0.6167790434983494,1.8443564432895427,2.313279783844028,1.8725563118214208,2.5591179483386357,0.04369410520682938
mlp_tick_20260911_raw,False,False,1814,77,2.6635382534973955,1.28629680030336,1.666555115911572,1.6301184668480377,0.798787210584344,24.594272145888507,1.6842675499251345,0.23892110816173281,1.768346493454451,1.462230129042166,1.8907007921762435,3.1589799492466937,0.017712434013562466
mlp_tick_20260911_cal,False,False,1814,77,2.819116935278554,1.6147131618877004,1.664475873607132,1.626022617820339,0.8031973539140022,25.140208384741417,1.6825306295140683,0.23892110816173281,1.7669751003354355,1.462230129042166,1.8927284297795217,3.1589799492466937,0.018054755906936643
mlp_tick_20260912_raw,False,False,1814,77,2.555519507195665,1.6193138065486263,1.6998604518805736,1.6644581108299576,0.7822491730981257,24.360527523034463,1.7223439640159501,0.29500815676486214,1.829648828889985,1.721934630826132,1.93168366045217,2.7516922714166103,0.02248351213537675
mlp_tick_20260912_cal,False,False,1814,77,2.810688794667924,2.3969506029889573,1.6986542158617697,1.6613555161227278,0.8109151047409041,25.518547740007413,1.7201579549913784,0.29500815676486214,1.826914912516068,1.721934630826132,1.9319701691597526,2.7516922714166103,0.021503739129608707
mlp_tick_ensemble_raw,True,False,1814,77,2.633716258640167,1.3830370491223978,1.6703622574444725,1.6342791441076285,0.794928335170893,24.790911200663395,1.6981248263349225,0.3825269855588992,1.7994826290629857,1.8322992495691368,1.8725924426831215,2.8146715106354265,0.027762568890450114
mlp_tick_ensemble_cal,True,False,1814,77,2.7659850151022223,1.9826791857827142,1.6675310943838795,1.6219386451497968,0.8004410143329658,25.259704349363606,1.695425170090826,0.3825269855588992,1.7996959451970622,1.8322992495691368,1.877400489917093,2.8146715106354265,0.027894075706946797
tcn_hard_shuffled_20260910_raw,False,False,1814,77,3.072975397816685,1.7883300369481163,1.6816472818305617,1.6337906599101955,0.7701212789415656,23.65516905340365,1.7175372013939987,0.48183688071228836,1.892019821434575,3.115259658672581,1.9785332769973163,4.400887475912731,0.03588991956343701
tcn_hard_shuffled_20260910_cal,False,False,1814,77,3.4602262503306416,2.579117645746698,1.685040709356421,1.635258304788511,0.8004410143329658,25.299353311540525,1.720664747808734,0.48183688071228836,1.8851877393717416,3.115259658672581,1.9685218017300092,4.400887475912731,0.03562403845231299
