scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd,scenario
core,all,1,joint_xgb,M2,0.5,btc_vol,2523,estimated,140.70656408795531,0.2748784284055605,clock_UTC_quote
core,all,1,joint_xgb,M2,0.5,btc_ret,2523,estimated,111.85330538850708,0.510728362575507,clock_UTC_quote
core,all,1,joint_xgb,M2,0.5,account_ls,2523,estimated,1.2369982497439953,0.7684749852729638,clock_UTC_quote
core,all,1,joint_xgb,M2,0.9,e_origin,2523,estimated,0.3491315507351052,3.3663692336768984,clock_UTC_quote
core,all,1,joint_xgb,M2,0.9,downside,2523,estimated,-53862.96638554592,-0.9086030535241508,clock_UTC_quote
core,all,1,joint_xgb,M2,0.9,btc_vol,2523,estimated,507.5852143577222,0.9915971362738556,clock_UTC_quote
core,all,1,joint_xgb,M2,0.9,btc_ret,2523,estimated,48.25237704087871,0.2203230153178479,clock_UTC_quote
core,all,1,joint_xgb,M2,0.9,account_ls,2523,estimated,1.378434847919728,0.8563413082226111,clock_UTC_quote
core,all,1,joint_mlp,M0,0.1,e_origin,2523,estimated,0.4832660293183915,4.72279174503961,clock_UTC_quote
core,all,1,joint_mlp,M0,0.1,downside,2523,estimated,-111639.83716959742,-1.883228937321498,clock_UTC_quote
core,all,1,joint_mlp,M0,0.5,e_origin,2523,estimated,0.397648916539261,3.886085316413313,clock_UTC_quote
core,all,1,joint_mlp,M0,0.5,downside,2523,estimated,-62187.34149118624,-1.0490251867116556,clock_UTC_quote
