date,window_days,reference,n_before,n_after,estimate,regime
2025-11-11 00:00:00+00:00,14,SOL,14,14,1.0105921083256426,after
2025-11-12 00:00:00+00:00,14,ETH,14,14,0.9118068839562881,after
2025-11-12 00:00:00+00:00,14,XRP,14,14,1.3607159512840088,after
2025-11-12 00:00:00+00:00,14,SOL,14,14,-0.2334005357119633,after
2025-11-13 00:00:00+00:00,14,ETH,14,14,-0.48276926169512,after
2025-11-13 00:00:00+00:00,14,XRP,14,14,0.23169379492336795,after
2025-11-13 00:00:00+00:00,14,SOL,14,14,-1.494498897239927,after
2025-11-14 00:00:00+00:00,14,ETH,14,14,0.4204343012427163,after
2025-11-14 00:00:00+00:00,14,XRP,14,14,1.1892937474054843,after
2025-11-14 00:00:00+00:00,14,SOL,14,14,-1.9377225779136715,after
2025-11-15 00:00:00+00:00,14,ETH,14,14,1.0590053162711275,after
2025-11-15 00:00:00+00:00,14,XRP,14,14,1.64936286673478,after
2025-11-15 00:00:00+00:00,14,SOL,14,14,-1.823129715543601,after
2025-11-16 00:00:00+00:00,14,ETH,14,14,9.750052028772624,after
2025-11-16 00:00:00+00:00,14,XRP,14,14,10.295780428566223,after
2025-11-16 00:00:00+00:00,14,SOL,14,14,1.3256572096225518,after
2025-11-17 00:00:00+00:00,14,ETH,14,14,12.245341996107959,after
2025-11-17 00:00:00+00:00,14,XRP,14,14,12.919087105598365,after
2025-11-17 00:00:00+00:00,14,SOL,14,14,2.142940140749749,after
