h,q,block_days,reference,term,contrast,estimate,primary,low95,high95,p_centered,n_boot,p_holm_24
6,0.1,10,BTC,ls_z,mean5_minus_BTC,-0.23866279997715978,False,-1.6584521329128747,2.1045043421916794,0.7546777546777547,480,
6,0.1,10,BTC,down_x_ls,mean5_minus_BTC,-0.4383874295563949,False,-3.8459128188137606,2.505167464619558,0.7900207900207901,480,
6,0.1,10,ETH,down_pct,mean5_minus_ETH,0.8369182938549284,False,-3.218370503531048,4.8693047028349365,0.6964656964656964,480,
6,0.1,10,ETH,ls_z,mean5_minus_ETH,-0.15610250177840435,False,-1.0154084947299244,1.6413042586353046,0.8253638253638254,480,
6,0.1,10,ETH,down_x_ls,mean5_minus_ETH,0.1934242068416432,False,-4.941003652361982,3.774078214294539,0.9501039501039501,480,
6,0.1,10,median5,down_pct,mean5_minus_median5,0.4831108264424666,False,-2.690913277912875,3.7575513618906853,0.7733887733887734,480,
6,0.1,10,median5,ls_z,mean5_minus_median5,-0.2858490731445351,False,-0.8917341353991359,1.8339323018994769,0.7484407484407485,480,
6,0.1,10,median5,down_x_ls,mean5_minus_median5,-0.6506267741638945,False,-3.4475326986910253,1.3125813848585766,0.6257796257796258,480,
6,0.1,10,without_DOGE,down_pct,mean5_minus_without_DOGE,1.1630401119517497,False,-1.8388716475786022,4.209857234971747,0.4303534303534304,480,
6,0.1,10,without_DOGE,ls_z,mean5_minus_without_DOGE,-0.027073805850909682,False,-0.4796715151652856,2.129041424653747,0.9812889812889813,480,
6,0.1,10,without_DOGE,down_x_ls,mean5_minus_without_DOGE,-0.5460750457216105,False,-4.042881028926394,1.4917779347916884,0.735966735966736,480,
