task,method,info,algorithm,q,period,n,pinball,baseline_pinball,skill,below_rate
observed_change,ae_selected,without_positioning,linear_qr,0.1,2026-02,204,6.729661024979209,6.572494775461143,-0.023912723385472567,0.0784313725490196
observed_change,ae_selected,without_positioning,linear_qr,0.1,2026-03,153,17.019474030917998,11.578372727524982,-0.4699366164347101,0.35294117647058826
observed_change,ae_selected,without_positioning,linear_qr,0.5,all,577,16.75030637719917,17.137983525319658,0.022620931310135428,0.5597920277296361
observed_change,ae_selected,without_positioning,linear_qr,0.5,2026-01,220,13.414422716664394,14.26555639864685,0.05966354611048963,0.4818181818181818
observed_change,ae_selected,without_positioning,linear_qr,0.5,2026-02,204,16.076606158073623,16.601638280535468,0.03162531995877882,0.5686274509803921
observed_change,ae_selected,without_positioning,linear_qr,0.5,2026-03,153,22.445268795625726,21.983397890051634,-0.02100998707679791,0.6601307189542484
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,all,577,9.626487779966478,8.587026022983327,-0.12105026282685216,0.17157712305025996
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,2026-01,220,7.0276001412909155,8.374700244345386,0.16085353072356645,0.12272727272727273
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,2026-02,204,6.974267385594057,6.572494775461143,-0.06112939208912871,0.09313725490196079
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,2026-03,153,16.899744256833134,11.578372727524982,-0.45959580456913307,0.3464052287581699
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,all,577,16.770718295716563,17.137983525319658,0.021429897459085412,0.5337954939341422
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,2026-01,220,13.409466139318726,14.26555639864685,0.06001099679570365,0.4954545454545455
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,2026-02,204,15.743371644750257,16.601638280535468,0.05169770725528233,0.5196078431372549
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,2026-03,153,22.973686865681593,21.983397890051634,-0.04504712968317359,0.6078431372549019
observed_change,ae_selected,with_positioning,linear_qr,0.1,all,577,9.686506615873556,8.587026022983327,-0.1280397415761232,0.13344887348353554
observed_change,ae_selected,with_positioning,linear_qr,0.1,2026-01,220,6.902611126599345,8.374700244345386,0.1757781263562237,0.05
observed_change,ae_selected,with_positioning,linear_qr,0.1,2026-02,204,6.739807810146484,6.572494775461143,-0.02545654890590643,0.05392156862745098
