definition,variant,information,calibration,threshold_bp,sample,reference,n,block_days,reference_cost,ml_cost,difference,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,ratio_valid_fraction,p_centered_boot
EQ,original,F,calibrated,-5.0,full,historical,509,5,0.06777996070726916,0.060707269155206287,0.007072691552062869,-0.0006944625440678188,0.01421380401871731,10.434782608695654,-1.0576823041710675,20.563874414907733,1.0,0.0655
EQ,original,F,calibrated,-5.0,full,state_hist,509,5,0.06719056974459725,0.060707269155206287,0.006483300589390962,-0.0015232896593752009,0.014042671826246834,9.649122807017543,-2.4073366046799625,19.85616535849365,1.0,0.112
EQ,original,F,calibrated,-5.0,nonoverlap,linear,138,5,0.060144927536231886,0.06413043478260869,-0.003985507246376813,-0.024464464882943144,0.014739712893864016,-6.626506024096388,-44.20660904487515,22.503640776699026,1.0,0.7095
EQ,original,F,calibrated,-5.0,nonoverlap,threshold,138,5,0.05942028985507247,0.06413043478260869,-0.004710144927536232,-0.020993884455239423,0.00931458851146092,-7.926829268292683,-37.86035313001605,14.941516816516808,1.0,0.559
EQ,original,F,calibrated,-5.0,nonoverlap,historical,138,5,0.06521739130434782,0.06413043478260869,0.0010869565217391298,-0.017480691056910573,0.016902491874322863,1.6666666666666659,-26.582417582417577,25.56179775280899,1.0,0.9055
EQ,original,F,calibrated,-5.0,nonoverlap,state_hist,138,5,0.06086956521739129,0.06413043478260869,-0.0032608695652173916,-0.02117064013023158,0.011075708382526563,-5.3571428571428585,-34.04372223521159,18.21710423503672,1.0,0.7035
EQ,original,F,calibrated,-10.0,full,linear,509,1,0.07308447937131632,0.056286836935167,0.016797642436149313,0.007927828282828285,0.025197429004277568,22.983870967741932,10.887388427208377,34.07694597069599,1.0,0.0005
EQ,original,F,calibrated,-10.0,full,linear,509,5,0.07308447937131632,0.056286836935167,0.016797642436149313,0.00840234080040272,0.024807150520761104,22.983870967741932,11.60195655711033,33.31074328960781,1.0,0.0005
EQ,original,F,calibrated,-10.0,full,linear,509,10,0.07308447937131632,0.056286836935167,0.016797642436149313,0.009310506566604133,0.023780487804878042,22.983870967741932,13.213699892906066,32.1974153297683,1.0,0.0005
EQ,original,F,calibrated,-10.0,full,threshold,509,1,0.06601178781925346,0.056286836935167,0.009724950884086446,-0.00252411427476641,0.019990667976424365,14.732142857142856,-4.111946202531644,28.475408719346067,1.0,0.0845
EQ,original,F,calibrated,-10.0,full,threshold,509,5,0.06601178781925346,0.056286836935167,0.009724950884086446,-0.0007782739792427003,0.019880317624125673,14.732142857142856,-1.171548998946258,28.410007331378313,1.0,0.066
EQ,original,F,calibrated,-10.0,full,threshold,509,10,0.06601178781925346,0.056286836935167,0.009724950884086446,0.0008814263510282158,0.018649867603502672,14.732142857142856,1.5030691103916158,26.53392687247794,1.0,0.0335
EQ,original,F,calibrated,-10.0,full,historical,509,1,0.07956777996070727,0.056286836935167,0.02328094302554027,0.009526231793527946,0.03538889370368766,29.259259259259252,12.053456959706962,43.97481456783195,1.0,0.0015
EQ,original,F,calibrated,-10.0,full,historical,509,5,0.07956777996070727,0.056286836935167,0.02328094302554027,0.010278201219512192,0.03485361478635644,29.259259259259252,12.935486079687553,43.67255626357805,1.0,0.001
EQ,original,F,calibrated,-10.0,full,historical,509,10,0.07956777996070727,0.056286836935167,0.02328094302554027,0.011871615455395668,0.034813046471904564,29.259259259259252,14.918717912875536,43.283885392308115,1.0,0.0005
EQ,original,F,calibrated,-10.0,full,state_hist,509,1,0.058742632612966604,0.056286836935167,0.002455795677799606,-0.008384822191163913,0.011065181288502928,4.180602006688962,-14.844915457488913,17.964516912121713,1.0,0.614
EQ,original,F,calibrated,-10.0,full,state_hist,509,5,0.058742632612966604,0.056286836935167,0.002455795677799606,-0.006182827695918045,0.010743905825931061,4.180602006688962,-11.123851102941178,17.136961675614252,1.0,0.5905
EQ,original,F,calibrated,-10.0,full,state_hist,509,10,0.058742632612966604,0.056286836935167,0.002455795677799606,-0.0048609203296703304,0.009934486395364598,4.180602006688962,-8.793761385288638,16.93706843244358,1.0,0.555
EQ,original,F,calibrated,-10.0,nonoverlap,linear,138,5,0.06811594202898551,0.061231884057971024,0.0068840579710144935,-0.0074831374478925424,0.020524637451042656,10.106382978723405,-11.59120394395433,30.470114942528724,1.0,0.3375
EQ,original,F,calibrated,-10.0,nonoverlap,threshold,138,5,0.07101449275362319,0.061231884057971024,0.009782608695652175,-0.007854166666666666,0.02782142857142857,13.775510204081634,-12.349574769666894,35.13685295464956,1.0,0.276
EQ,original,F,calibrated,-10.0,nonoverlap,historical,138,5,0.0782608695652174,0.061231884057971024,0.017028985507246377,-0.004138189448441243,0.03786144883485309,21.759259259259256,-5.435320705983638,47.4410626319493,1.0,0.112
EQ,original,F,calibrated,-10.0,nonoverlap,state_hist,138,5,0.06666666666666667,0.061231884057971024,0.005434782608695653,-0.012143590998043052,0.022337698412698413,8.15217391304348,-21.43590998043052,29.862900916380294,1.0,0.5315
EQ,original,F,calibrated,-20.0,full,linear,509,5,0.043222003929273084,0.026866404715127704,0.016355599214145384,0.005525392351900972,0.028016574109206306,37.84090909090909,16.050371872887084,58.149201693966454,1.0,0.0045
