definition,variant,information,calibration,threshold_bp,sample,strategy,n,events,alarms,true_positives,false_positives,false_negatives,alarm_rate,recall,precision,cost,missed_severity_bp
CAP,own_scale,F,calibrated,-5.0,full,linear,509,143.0,428.0,141.0,287.0,2.0,0.8408644400785854,0.986013986013986,0.3294392523364486,0.05992141453831041,0.005046526690548102
CAP,own_scale,F,calibrated,-5.0,full,threshold,509,143.0,405.0,135.0,270.0,8.0,0.7956777996070727,0.9440559440559441,0.3333333333333333,0.06719056974459725,0.046247986758786545
CAP,own_scale,F,calibrated,-5.0,full,historical,509,143.0,509.0,143.0,366.0,0.0,1.0,1.0,0.28094302554027506,0.0719056974459725,0.0
CAP,own_scale,F,calibrated,-5.0,full,state_hist,509,143.0,408.0,132.0,276.0,11.0,0.8015717092337917,0.9230769230769231,0.3235294117647059,0.07367387033398821,0.05330547523713087
CAP,own_scale,F,calibrated,-5.0,full,always_alarm,509,143.0,509.0,143.0,366.0,0.0,1.0,1.0,0.28094302554027506,0.0719056974459725,0.0
CAP,own_scale,F,calibrated,-5.0,full,never_alarm,509,143.0,0.0,0.0,0.0,143.0,0.0,0.0,,0.2528487229862475,1.8169562068693774
CAP,own_scale,F,calibrated,-5.0,nonoverlap,ml_selected,138,38.0,94.75,35.25,59.5,2.75,0.6865942028985508,0.9276315789473685,0.3720316622691293,0.061050724637681165,0.056587874819125174
CAP,own_scale,F,calibrated,-5.0,nonoverlap,linear,138,38.0,114.0,37.0,77.0,1.0,0.8260869565217391,0.9736842105263158,0.32456140350877194,0.062318840579710155,0.000891092907451411
CAP,own_scale,F,calibrated,-5.0,nonoverlap,threshold,138,38.0,105.0,38.0,67.0,0.0,0.7608695652173914,1.0,0.3619047619047619,0.04855072463768117,0.0
CAP,own_scale,F,calibrated,-5.0,nonoverlap,historical,138,38.0,138.0,38.0,100.0,0.0,1.0,1.0,0.2753623188405797,0.07246376811594203,0.0
CAP,own_scale,F,calibrated,-5.0,nonoverlap,state_hist,138,38.0,105.0,35.0,70.0,3.0,0.7608695652173914,0.9210526315789473,0.3333333333333333,0.07028985507246377,0.034167475692039276
CAP,own_scale,F,calibrated,-5.0,nonoverlap,always_alarm,138,38.0,138.0,38.0,100.0,0.0,1.0,1.0,0.2753623188405797,0.07246376811594203,0.0
CAP,own_scale,F,calibrated,-5.0,nonoverlap,never_alarm,138,38.0,0.0,0.0,0.0,38.0,0.0,0.0,,0.24782608695652175,1.8722080736856392
CAP,own_scale,F,calibrated,-10.0,full,ml_selected,509,71.0,226.0,61.0,165.0,10.0,0.444007858546169,0.8591549295774648,0.26991150442477874,0.05009823182711198,0.05127198469526488
CAP,own_scale,F,calibrated,-10.0,full,linear,509,71.0,253.0,62.0,191.0,9.0,0.49705304518664045,0.8732394366197183,0.2450592885375494,0.05343811394891945,0.0555362802731235
CAP,own_scale,F,calibrated,-10.0,full,threshold,509,71.0,241.0,61.0,180.0,10.0,0.47347740667976423,0.8591549295774648,0.25311203319502074,0.05304518664047151,0.05127198469526488
CAP,own_scale,F,calibrated,-10.0,full,historical,509,71.0,402.0,59.0,343.0,12.0,0.7897838899803536,0.8309859154929577,0.14676616915422885,0.08860510805500983,0.06648255069582652
CAP,own_scale,F,calibrated,-10.0,full,state_hist,509,71.0,234.0,61.0,173.0,10.0,0.45972495088408644,0.8591549295774648,0.2606837606837607,0.051669941060903744,0.05706166480133109
CAP,own_scale,F,calibrated,-10.0,full,always_alarm,509,71.0,509.0,71.0,438.0,0.0,1.0,1.0,0.13948919449901767,0.08605108055009825,0.0
CAP,own_scale,F,calibrated,-10.0,full,never_alarm,509,71.0,0.0,0.0,0.0,71.0,0.0,0.0,,0.1255402750491159,0.7983796360483094
CAP,own_scale,F,calibrated,-10.0,nonoverlap,ml_selected,138,20.0,59.0,17.0,42.0,3.0,0.427536231884058,0.85,0.288135593220339,0.05,0.016919974439875772
CAP,own_scale,F,calibrated,-10.0,nonoverlap,linear,138,20.0,63.0,17.0,46.0,3.0,0.45652173913043476,0.85,0.2698412698412698,0.052898550724637686,0.038113742327921564
CAP,own_scale,F,calibrated,-10.0,nonoverlap,threshold,138,20.0,61.0,17.0,44.0,3.0,0.4420289855072464,0.85,0.2786885245901639,0.051449275362318844,0.016919974439875772
CAP,own_scale,F,calibrated,-10.0,nonoverlap,historical,138,20.0,108.0,16.0,92.0,4.0,0.782608695652174,0.8,0.14814814814814814,0.0927536231884058,0.08113014972794688
CAP,own_scale,F,calibrated,-10.0,nonoverlap,state_hist,138,20.0,61.0,17.0,44.0,3.0,0.4420289855072464,0.85,0.2786885245901639,0.05144927536231885,0.038113742327921564
CAP,own_scale,F,calibrated,-10.0,nonoverlap,always_alarm,138,20.0,138.0,20.0,118.0,0.0,1.0,1.0,0.14492753623188406,0.08550724637681159,0.0
CAP,own_scale,F,calibrated,-10.0,nonoverlap,never_alarm,138,20.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.13043478260869565,0.8843931053213695
CAP,own_scale,F,calibrated,-20.0,full,ml_selected,509,12.0,29.5,5.0,24.5,7.0,0.05795677799607073,0.4166666666666667,0.1694915254237288,0.01719056974459725,0.06233878055665446
CAP,own_scale,F,calibrated,-20.0,full,linear,509,12.0,71.0,7.0,64.0,5.0,0.13948919449901767,0.5833333333333334,0.09859154929577464,0.021414538310412578,0.024811962040261627
