table,label,stat,printed,source,recomputed,matches_printed_precision,file,column
3,0.9,beta,-4.25,historical_saved_NOT_RERUN,-4.248639333181294,True,table3_main_quantile_tail.csv,beta_downside
3,0.9,p,0.05,default_B300,0.0533333333333333,True,table3_main_quantile_tail.csv,p_boot
3,0.9,p,0.05,archive_main_B40,0.05,True,table3_main_quantile_tail.csv,p_boot
3,0.9,p,0.05,historical_saved_NOT_RERUN,0.05,True,table3_main_quantile_tail.csv,p_boot
4,M0_base+downside:downside,beta,-0.115,default_B300,-0.115,True,table7_decisive_robustness.csv,downside
4,M0_base+downside:downside,beta,-0.115,archive_main_B40,-0.115,True,table7_decisive_robustness.csv,downside
4,M0_base+downside:downside,beta,-0.115,historical_saved_NOT_RERUN,-0.115,True,table7_decisive_robustness.csv,downside
4,M0_base+downside:downside,p,0.00,default_B300,0.0,True,table7_decisive_robustness.csv,p_downside
4,M0_base+downside:downside,p,0.00,archive_main_B40,0.0,True,table7_decisive_robustness.csv,p_downside
4,M0_base+downside:downside,p,0.00,historical_saved_NOT_RERUN,0.0,True,table7_decisive_robustness.csv,p_downside
4,M1_+global_state:downside,beta,0.056,default_B300,0.056,True,table7_decisive_robustness.csv,downside
4,M1_+global_state:downside,beta,0.056,archive_main_B40,0.056,True,table7_decisive_robustness.csv,downside
4,M1_+global_state:downside,beta,0.056,historical_saved_NOT_RERUN,0.056,True,table7_decisive_robustness.csv,downside
4,M1_+global_state:downside,p,0.33,default_B300,0.327,True,table7_decisive_robustness.csv,p_downside
4,M1_+global_state:downside,p,0.33,archive_main_B40,0.35,False,table7_decisive_robustness.csv,p_downside
4,M1_+global_state:downside,p,0.33,historical_saved_NOT_RERUN,0.35,False,table7_decisive_robustness.csv,p_downside
4,M1_+global_state:btc_vol,beta,-0.269,default_B300,-0.269,True,table7_decisive_robustness.csv,btc_vol
4,M1_+global_state:btc_vol,beta,-0.269,archive_main_B40,-0.269,True,table7_decisive_robustness.csv,btc_vol
4,M1_+global_state:btc_vol,beta,-0.269,historical_saved_NOT_RERUN,-0.269,True,table7_decisive_robustness.csv,btc_vol
4,M1_+global_state:btc_vol,p,0.01,default_B300,0.007,True,table7_decisive_robustness.csv,p_btc_vol
