mode,definition,fold,info,model,window,form,params,validation_loss_bp,train_n,test_n
available_macro,EQ,2026-03,full,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.9091100019731466,887,201
available_macro,EQ,2026-03,history,linear,90,level,"{""alpha"": 0.01}",1.8990827528689498,887,201
available_macro,EQ,2026-03,history,boosting,90,level,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.9368808606853618,887,201
available_macro,EQ,2026-03,history,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.893345098160221,887,201
available_macro,CAP,2025-11,base,linear,all,change,"{""alpha"": 0.05}",1.1583830397290744,1582,280
available_macro,CAP,2025-11,base,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.1048602388137634,1582,280
available_macro,CAP,2025-11,base,qrf,90,change,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 40}",1.1549752835010698,975,280
available_macro,CAP,2025-11,full,linear,90,change,"{""alpha"": 0.0}",1.149682814249627,975,280
available_macro,CAP,2025-11,full,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.1070472826643594,1582,280
available_macro,CAP,2025-11,full,qrf,90,change,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 40}",1.159268914490215,975,280
available_macro,CAP,2025-11,history,linear,all,change,"{""alpha"": 0.05}",1.1583830397290744,1582,280
available_macro,CAP,2025-11,history,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.1025532463787124,1582,280
available_macro,CAP,2025-11,history,qrf,90,change,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 40}",1.1667711983999975,975,280
available_macro,CAP,2025-12,base,linear,all,change,"{""alpha"": 0.05}",1.8920692465220936,1862,313
available_macro,CAP,2025-12,base,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.3766332924223068,1862,313
available_macro,CAP,2025-12,base,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.484499405660788,940,313
available_macro,CAP,2025-12,full,linear,all,change,"{""alpha"": 0.05}",1.8920692465220936,1862,313
available_macro,CAP,2025-12,full,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.3766332924223068,1862,313
available_macro,CAP,2025-12,full,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.4765854796710254,1862,313
available_macro,CAP,2025-12,history,linear,all,change,"{""alpha"": 0.05}",1.8920692465220936,1862,313
available_macro,CAP,2025-12,history,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.3739650744669076,1862,313
available_macro,CAP,2025-12,history,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.4670432811338157,1862,313
available_macro,CAP,2026-01,base,linear,all,level,"{""alpha"": 0.0}",1.0638362043923422,2175,294
available_macro,CAP,2026-01,base,boosting,all,level,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.0719877221206457,2175,294
available_macro,CAP,2026-01,base,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.1209174620347253,2175,294
available_macro,CAP,2026-01,full,linear,all,level,"{""alpha"": 0.0}",1.0642709906500063,2175,294
available_macro,CAP,2026-01,full,boosting,all,level,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.0992828624437205,2175,294
available_macro,CAP,2026-01,full,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.1320391975781372,2175,294
available_macro,CAP,2026-01,history,linear,all,change,"{""alpha"": 0.0}",1.0583314331459055,2175,294
available_macro,CAP,2026-01,history,boosting,all,level,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.080021022455425,2175,294
available_macro,CAP,2026-01,history,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.1134882421183354,2175,294
