mode,definition,model,info,calibration,reference_model,reference_info,reference_calibration,block_days,comparison,n,difference_bp,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,months
available_macro,CAP,qrf,history,calibrated,linear,history,calibrated,1,algorithm_vs_linear,1088,-0.054523160395840056,-0.11025480714276022,0.002838851335585522,4.197519708330688,-0.23794541121271626,8.015372752766952,0.057,1,4
available_macro,CAP,qrf,history,calibrated,linear,history,calibrated,5,algorithm_vs_linear,1088,-0.054523160395840056,-0.12049182140048936,0.009411570827722777,4.197519708330688,-0.7718720824162132,8.49613404306315,0.103,1,4
available_macro,CAP,qrf,history,calibrated,linear,history,calibrated,10,algorithm_vs_linear,1088,-0.054523160395840056,-0.11186389930499828,0.003537093927096075,4.197519708330688,-0.2868661749482971,8.029838237712582,0.0715,1,4
available_macro,CAP,linear,full,calibrated,linear,base,calibrated,1,position_levels,1088,0.06112133371809677,0.011069422468624872,0.12266435770988414,-4.715133528098647,-8.986653961267413,-0.9030710704546928,0.032,2,4
available_macro,CAP,linear,full,calibrated,linear,base,calibrated,5,position_levels,1088,0.06112133371809677,-0.005028966600188429,0.1628258664968096,-4.715133528098647,-11.305434583887578,0.4135494404398444,0.1875,2,4
available_macro,CAP,linear,full,calibrated,linear,base,calibrated,10,position_levels,1088,0.06112133371809677,-0.003067096795316091,0.1443128861441265,-4.715133528098647,-10.470875940821854,0.24948828031713033,0.1515,2,4
available_macro,CAP,linear,history,calibrated,linear,full,calibrated,1,position_changes,1088,-0.058463783583579995,-0.11952514414941609,-0.00618505406929693,4.307037379605127,0.48576209862960346,7.990321160898822,0.041,3,4
available_macro,CAP,linear,history,calibrated,linear,full,calibrated,5,position_changes,1088,-0.058463783583579995,-0.1609143859758433,0.011368270020810886,4.307037379605127,-0.9487747484810718,10.129252101873409,0.2305,3,4
available_macro,CAP,linear,history,calibrated,linear,full,calibrated,10,position_changes,1088,-0.058463783583579995,-0.14414277571941653,0.008347298829975043,4.307037379605127,-0.6837736534843702,9.472108482991532,0.206,3,4
available_macro,CAP,linear,history,calibrated,linear,base,calibrated,1,position_all,1088,0.0026575501345167756,-0.013148943138865712,0.017752666208665335,-0.20501358494002808,-1.3568237607067812,1.0069082201220831,0.711,2,4
available_macro,CAP,linear,history,calibrated,linear,base,calibrated,5,position_all,1088,0.0026575501345167756,-0.01025000898426192,0.015183952895194084,-0.20501358494002808,-1.1604800542151625,0.7939833040302154,0.6815,2,4
available_macro,CAP,linear,history,calibrated,linear,base,calibrated,10,position_all,1088,0.0026575501345167756,-0.007599941440825514,0.012941937733529325,-0.20501358494002808,-0.9992571061631066,0.5965321546203484,0.6335,2,4
available_macro,CAP,boosting,full,calibrated,boosting,base,calibrated,1,position_levels,1088,-0.0011415763866160584,-0.009228933464761419,0.007083422343704331,0.0930220247181035,-0.5769626224512576,0.756273483045977,0.7975,2,4
available_macro,CAP,boosting,full,calibrated,boosting,base,calibrated,5,position_levels,1088,-0.0011415763866160584,-0.009081106395112655,0.006065793984747217,0.0930220247181035,-0.4931337475355576,0.7447520953287421,0.7695,2,4
