scenario,block_days,contrast,scope,sample,h,method,q,term,comparator_method,comparator_h,comparator_q,metric,point,ci_low,ci_high,successful
clock_UTC_quote,3,method_minus_linear,core,matched,6,pca,0.1,btc_vol,linear,6,0.1,coef_raw,57.40798732940402,-69.67049769977378,95.47083484553711,199
clock_UTC_quote,3,method_minus_linear,core,matched,6,pca,0.1,btc_vol,linear,6,0.1,effect_bp_per_sd,0.1110754824496697,-0.1348015233508675,0.18472114306138096,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,pca,0.1,btc_vol,pca,1,0.1,coef_raw,-324.5425910785002,-1935.8607507501783,1115.3741488269625,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,pca,0.1,btc_vol,pca,1,0.1,effect_bp_per_sd,-0.6279391868010387,-3.7455879721256222,2.1580746418083963,199
clock_UTC_quote,3,method_minus_linear,core,matched,6,pca,0.1,account_ls,linear,6,0.1,coef_raw,0.011073546423315594,-0.2178630199471123,0.2033750864637539,199
clock_UTC_quote,3,method_minus_linear,core,matched,6,pca,0.1,account_ls,linear,6,0.1,effect_bp_per_sd,0.006996848224190222,-0.13765729839034715,0.12850306109453463,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,pca,0.1,account_ls,pca,1,0.1,coef_raw,0.8385315489015476,-3.3237181084929697,2.942429867774564,199
clock_UTC_quote,3,h6_minus_h1,core,matched,6,pca,0.1,account_ls,pca,1,0.1,effect_bp_per_sd,0.529828273127223,-2.100099666007046,1.8591817298743072,199
clock_UTC_quote,3,method_minus_linear,core,matched,6,ml,0.1,e_origin,linear,6,0.1,coef_raw,-0.03067865524698571,-0.08709198918037103,0.0615175816967319,199
clock_UTC_quote,3,method_minus_linear,core,matched,6,ml,0.1,e_origin,linear,6,0.1,effect_bp_per_sd,-0.31760603993452685,-0.895208873099616,0.6090889215161542,199
clock_UTC_quote,3,ML_minus_joint_linear,core,matched,6,ml,0.1,e_origin,joint_linear,6,0.1,coef_raw,-0.04730802696485309,-0.08568551901548291,0.04913166192353246,199
